"","id","Station","Divisions","Region","Total_MAH","Total_DN","Total_kidnap","Total_REHi","Total_Burglary","Total_Theft","Total_Fraud","Total_Drug","Total_weapon","Total_PDE","Total_poSo","Total_AgainstGVT","Total_crime","crime_rate"
"1",20441,"Abbeyfeale","limerickdivision",NA,373,175,2,7,350,633,57,78,42,519,535,66,5674,0.085
"2",20117,"Abbeyleix","laois/offalydivision",NA,197,278,3,6,497,874,43,131,21,385,358,26,5638,0.085
"3",20424,"Adare","limerickdivision",NA,39,120,0,7,211,336,19,21,4,82,55,15,1818,0.027
"4",20217,"Aglish","waterforddivision",NA,31,28,1,2,61,81,4,18,2,61,39,1,658,0.01
"5",20522,"Ahascragh","galwaydivision",NA,31,49,0,0,55,76,6,11,6,60,55,11,720,0.011
"6",20700,"Ailt an Chorrain","donegaldivision",NA,68,49,0,0,41,89,4,8,4,109,132,3,1014,0.015
"7",20649,"An Bun Beag","donegaldivision",NA,337,211,0,5,187,243,13,39,11,367,587,38,4076,0.061
"8",20653,"An Charraig","donegaldivision",NA,49,51,0,0,43,61,6,14,6,97,91,6,848,0.013
"9",20500,"An Cheathru Rua","galwaydivision",NA,161,111,1,1,46,104,10,10,1,150,198,20,1626,0.024
"10",20652,"An Clochan Liath","donegaldivision",NA,214,148,0,1,84,237,48,28,12,172,501,28,2946,0.044
"11",20393,"An Coirean","kerrydivision",NA,60,80,0,0,59,100,5,31,3,57,74,7,952,0.014
"12",20642,"An Craoslach","donegaldivision",NA,33,33,1,0,20,78,7,2,4,76,48,5,614,0.009
"13",20643,"An Fál Carrach","donegaldivision",NA,157,165,0,0,104,200,18,54,16,275,638,22,3298,0.05
"14",20488,"An Maim","galwaydivision",NA,34,42,0,2,77,172,29,28,18,55,66,0,1046,0.016
"15",20218,"An Rinn","waterforddivision",NA,16,43,1,1,58,89,4,19,6,64,44,7,704,0.011
"16",20503,"An Spideal","galwaydivision",NA,67,71,0,2,90,222,19,16,2,154,126,9,1556,0.023
"17",20288,"Anglesea Street","cork citydivision",NA,2711,1521,6,489,1906,17193,983,1755,471,4186,16574,3919,103428,1.556
"18",20383,"Annascaul","kerrydivision",NA,11,15,0,0,45,43,4,4,1,15,23,0,322,0.005
"19",20476,"Aran Mor","galwaydivision",NA,403,482,2,27,797,1918,139,254,33,778,680,78,11182,0.168
"20",20648,"Ard An Rátha","donegaldivision",NA,55,77,0,0,35,91,18,19,9,81,257,30,1344,0.02
"21",2079,"Ardee","louthdivision",NA,365,254,6,26,788,1305,117,100,34,834,428,84,8682,0.131
"22",20378,"Ardfert","kerrydivision",NA,84,129,0,4,121,189,14,70,1,74,149,22,1714,0.026
